GeoFips,GeoName,LineCode,Description,2019
1001,"Autauga, AL",1,Personal income (thousands of dollars),2474364
1001,"Autauga, AL",2,Population (persons) 1/,55769
1001,"Autauga, AL",3,Per capita personal income (dollars) 2/,44368
1003,"Baldwin, AL",1,Personal income (thousands of dollars),10791564
1003,"Baldwin, AL",2,Population (persons) 1/,223565
1003,"Baldwin, AL",3,Per capita personal income (dollars) 2/,48270
1005,"Barbour, AL",1,Personal income (thousands of dollars),877107
1005,"Barbour, AL",2,Population (persons) 1/,24657
1005,"Barbour, AL",3,Per capita personal income (dollars) 2/,35572
1007,"Bibb, AL",1,Personal income (thousands of dollars),703755
1007,"Bibb, AL",2,Population (persons) 1/,22313
1007,"Bibb, AL",3,Per capita personal income (dollars) 2/,31540
1009,"Blount, AL",1,Personal income (thousands of dollars),2138313
1009,"Blount, AL",2,Population (persons) 1/,57840
1009,"Blount, AL",3,Per capita personal income (dollars) 2/,36969
1011,"Bullock, AL",1,Personal income (thousands of dollars),285410
1011,"Bullock, AL",2,Population (persons) 1/,10144
1011,"Bullock, AL",3,Per capita personal income (dollars) 2/,28136
1013,"Butler, AL",1,Personal income (thousands of dollars),742470
1013,"Butler, AL",2,Population (persons) 1/,19501
1013,"Butler, AL",3,Per capita personal income (dollars) 2/,38073
1015,"Calhoun, AL",1,Personal income (thousands of dollars),4301394
1015,"Calhoun, AL",2,Population (persons) 1/,114070
1015,"Calhoun, AL",3,Per capita personal income (dollars) 2/,37708
1017,"Chambers, AL",1,Personal income (thousands of dollars),1200438
1017,"Chambers, AL",2,Population (persons) 1/,33244
1017,"Chambers, AL",3,Per capita personal income (dollars) 2/,36110
1019,"Cherokee, AL",1,Personal income (thousands of dollars),955148
1019,"Cherokee, AL",2,Population (persons) 1/,26254
1019,"Cherokee, AL",3,Per capita personal income (dollars) 2/,36381
1021,"Chilton, AL",1,Personal income (thousands of dollars),1616126
1021,"Chilton, AL",2,Population (persons) 1/,44313
1021,"Chilton, AL",3,Per capita personal income (dollars) 2/,36471
1023,"Choctaw, AL",1,Personal income (thousands of dollars),491727
1023,"Choctaw, AL",2,Population (persons) 1/,12577
1023,"Choctaw, AL",3,Per capita personal income (dollars) 2/,39097
1025,"Clarke, AL",1,Personal income (thousands of dollars),876536
1025,"Clarke, AL",2,Population (persons) 1/,23651
1025,"Clarke, AL",3,Per capita personal income (dollars) 2/,37061
1027,"Clay, AL",1,Personal income (thousands of dollars),453463
1027,"Clay, AL",2,Population (persons) 1/,13265
1027,"Clay, AL",3,Per capita personal income (dollars) 2/,34185
1029,"Cleburne, AL",1,Personal income (thousands of dollars),536859
1029,"Cleburne, AL",2,Population (persons) 1/,14952
1029,"Cleburne, AL",3,Per capita personal income (dollars) 2/,35905
1031,"Coffee, AL",1,Personal income (thousands of dollars),2280247
1031,"Coffee, AL",2,Population (persons) 1/,52639
1031,"Coffee, AL",3,Per capita personal income (dollars) 2/,43319
1033,"Colbert, AL",1,Personal income (thousands of dollars),2146675
1033,"Colbert, AL",2,Population (persons) 1/,55241
1033,"Colbert, AL",3,Per capita personal income (dollars) 2/,38860
1035,"Conecuh, AL",1,Personal income (thousands of dollars),405004
1035,"Conecuh, AL",2,Population (persons) 1/,12055
1035,"Conecuh, AL",3,Per capita personal income (dollars) 2/,33596
1037,"Coosa, AL",1,Personal income (thousands of dollars),347519
1037,"Coosa, AL",2,Population (persons) 1/,10677
1037,"Coosa, AL",3,Per capita personal income (dollars) 2/,32548
1039,"Covington, AL",1,Personal income (thousands of dollars),1332258
1039,"Covington, AL",2,Population (persons) 1/,37082
1039,"Covington, AL",3,Per capita personal income (dollars) 2/,35927
1041,"Crenshaw, AL",1,Personal income (thousands of dollars),508007
1041,"Crenshaw, AL",2,Population (persons) 1/,13811
1041,"Crenshaw, AL",3,Per capita personal income (dollars) 2/,36783
1043,"Cullman, AL",1,Personal income (thousands of dollars),3447019
1043,"Cullman, AL",2,Population (persons) 1/,83644
1043,"Cullman, AL",3,Per capita personal income (dollars) 2/,41211
1045,"Dale, AL",1,Personal income (thousands of dollars),1864857
1045,"Dale, AL",2,Population (persons) 1/,49294
1045,"Dale, AL",3,Per capita personal income (dollars) 2/,37831
1047,"Dallas, AL",1,Personal income (thousands of dollars),1376975
1047,"Dallas, AL",2,Population (persons) 1/,37182
1047,"Dallas, AL",3,Per capita personal income (dollars) 2/,37033
1049,"DeKalb, AL",1,Personal income (thousands of dollars),2390228
1049,"DeKalb, AL",2,Population (persons) 1/,71506
1049,"DeKalb, AL",3,Per capita personal income (dollars) 2/,33427
1051,"Elmore, AL",1,Personal income (thousands of dollars),3635096
1051,"Elmore, AL",2,Population (persons) 1/,81575
1051,"Elmore, AL",3,Per capita personal income (dollars) 2/,44561
1053,"Escambia, AL",1,Personal income (thousands of dollars),1255712
1053,"Escambia, AL",2,Population (persons) 1/,36569
1053,"Escambia, AL",3,Per capita personal income (dollars) 2/,34338
1055,"Etowah, AL",1,Personal income (thousands of dollars),3862708
1055,"Etowah, AL",2,Population (persons) 1/,102460
1055,"Etowah, AL",3,Per capita personal income (dollars) 2/,37700
1057,"Fayette, AL",1,Personal income (thousands of dollars),583702
1057,"Fayette, AL",2,Population (persons) 1/,16279
1057,"Fayette, AL",3,Per capita personal income (dollars) 2/,35856
1059,"Franklin, AL",1,Personal income (thousands of dollars),1100218
1059,"Franklin, AL",2,Population (persons) 1/,31587
1059,"Franklin, AL",3,Per capita personal income (dollars) 2/,34831
1061,"Geneva, AL",1,Personal income (thousands of dollars),959104
1061,"Geneva, AL",2,Population (persons) 1/,26309
1061,"Geneva, AL",3,Per capita personal income (dollars) 2/,36455
1063,"Greene, AL",1,Personal income (thousands of dollars),263654
1063,"Greene, AL",2,Population (persons) 1/,8104
1063,"Greene, AL",3,Per capita personal income (dollars) 2/,32534
1065,"Hale, AL",1,Personal income (thousands of dollars),554860
1065,"Hale, AL",2,Population (persons) 1/,14669
1065,"Hale, AL",3,Per capita personal income (dollars) 2/,37825
1067,"Henry, AL",1,Personal income (thousands of dollars),749014
1067,"Henry, AL",2,Population (persons) 1/,17125
1067,"Henry, AL",3,Per capita personal income (dollars) 2/,43738
1069,"Houston, AL",1,Personal income (thousands of dollars),4706434
1069,"Houston, AL",2,Population (persons) 1/,106240
1069,"Houston, AL",3,Per capita personal income (dollars) 2/,44300
1071,"Jackson, AL",1,Personal income (thousands of dollars),1963648
1071,"Jackson, AL",2,Population (persons) 1/,51672
1071,"Jackson, AL",3,Per capita personal income (dollars) 2/,38002
1073,"Jefferson, AL",1,Personal income (thousands of dollars),37272714
1073,"Jefferson, AL",2,Population (persons) 1/,658539
1073,"Jefferson, AL",3,Per capita personal income (dollars) 2/,56599
1075,"Lamar, AL",1,Personal income (thousands of dollars),477369
1075,"Lamar, AL",2,Population (persons) 1/,13817
1075,"Lamar, AL",3,Per capita personal income (dollars) 2/,34549
1077,"Lauderdale, AL",1,Personal income (thousands of dollars),3547651
1077,"Lauderdale, AL",2,Population (persons) 1/,93028
1077,"Lauderdale, AL",3,Per capita personal income (dollars) 2/,38135
1079,"Lawrence, AL",1,Personal income (thousands of dollars),1163396
1079,"Lawrence, AL",2,Population (persons) 1/,32851
1079,"Lawrence, AL",3,Per capita personal income (dollars) 2/,35414
1081,"Lee, AL",1,Personal income (thousands of dollars),6673082
1081,"Lee, AL",2,Population (persons) 1/,165015
1081,"Lee, AL",3,Per capita personal income (dollars) 2/,40439
1083,"Limestone, AL",1,Personal income (thousands of dollars),4445403
1083,"Limestone, AL",2,Population (persons) 1/,99136
1083,"Limestone, AL",3,Per capita personal income (dollars) 2/,44841
1085,"Lowndes, AL",1,Personal income (thousands of dollars),403136
1085,"Lowndes, AL",2,Population (persons) 1/,9726
1085,"Lowndes, AL",3,Per capita personal income (dollars) 2/,41449
1087,"Macon, AL",1,Personal income (thousands of dollars),618054
1087,"Macon, AL",2,Population (persons) 1/,18065
1087,"Macon, AL",3,Per capita personal income (dollars) 2/,34213
1089,"Madison, AL",1,Personal income (thousands of dollars),20180319
1089,"Madison, AL",2,Population (persons) 1/,372547
1089,"Madison, AL",3,Per capita personal income (dollars) 2/,54169
1091,"Marengo, AL",1,Personal income (thousands of dollars),762383
1091,"Marengo, AL",2,Population (persons) 1/,18919
1091,"Marengo, AL",3,Per capita personal income (dollars) 2/,40297
1093,"Marion, AL",1,Personal income (thousands of dollars),997184
1093,"Marion, AL",2,Population (persons) 1/,29826
1093,"Marion, AL",3,Per capita personal income (dollars) 2/,33433
1095,"Marshall, AL",1,Personal income (thousands of dollars),3668146
1095,"Marshall, AL",2,Population (persons) 1/,96751
1095,"Marshall, AL",3,Per capita personal income (dollars) 2/,37913
1097,"Mobile, AL",1,Personal income (thousands of dollars),16541749
1097,"Mobile, AL",2,Population (persons) 1/,413516
1097,"Mobile, AL",3,Per capita personal income (dollars) 2/,40003
1099,"Monroe, AL",1,Personal income (thousands of dollars),713536
1099,"Monroe, AL",2,Population (persons) 1/,20689
1099,"Monroe, AL",3,Per capita personal income (dollars) 2/,34489
1101,"Montgomery, AL",1,Personal income (thousands of dollars),10082179
1101,"Montgomery, AL",2,Population (persons) 1/,226074
1101,"Montgomery, AL",3,Per capita personal income (dollars) 2/,44597
1103,"Morgan, AL",1,Personal income (thousands of dollars),5011937
1103,"Morgan, AL",2,Population (persons) 1/,119630
1103,"Morgan, AL",3,Per capita personal income (dollars) 2/,41895
1105,"Perry, AL",1,Personal income (thousands of dollars),287850
1105,"Perry, AL",2,Population (persons) 1/,8940
1105,"Perry, AL",3,Per capita personal income (dollars) 2/,32198
1107,"Pickens, AL",1,Personal income (thousands of dollars),689720
1107,"Pickens, AL",2,Population (persons) 1/,19940
1107,"Pickens, AL",3,Per capita personal income (dollars) 2/,34590
1109,"Pike, AL",1,Personal income (thousands of dollars),1257168
1109,"Pike, AL",2,Population (persons) 1/,33034
1109,"Pike, AL",3,Per capita personal income (dollars) 2/,38057
1111,"Randolph, AL",1,Personal income (thousands of dollars),767912
1111,"Randolph, AL",2,Population (persons) 1/,22781
1111,"Randolph, AL",3,Per capita personal income (dollars) 2/,33708
1113,"Russell, AL",1,Personal income (thousands of dollars),1963480
1113,"Russell, AL",2,Population (persons) 1/,58098
1113,"Russell, AL",3,Per capita personal income (dollars) 2/,33796
1115,"St. Clair, AL",1,Personal income (thousands of dollars),3680439
1115,"St. Clair, AL",2,Population (persons) 1/,89735
1115,"St. Clair, AL",3,Per capita personal income (dollars) 2/,41015
1117,"Shelby, AL",1,Personal income (thousands of dollars),12609053
1117,"Shelby, AL",2,Population (persons) 1/,218176
1117,"Shelby, AL",3,Per capita personal income (dollars) 2/,57793
1119,"Sumter, AL",1,Personal income (thousands of dollars),396157
1119,"Sumter, AL",2,Population (persons) 1/,12358
1119,"Sumter, AL",3,Per capita personal income (dollars) 2/,32057
1121,"Talladega, AL",1,Personal income (thousands of dollars),2865397
1121,"Talladega, AL",2,Population (persons) 1/,80226
1121,"Talladega, AL",3,Per capita personal income (dollars) 2/,35717
1123,"Tallapoosa, AL",1,Personal income (thousands of dollars),1716099
1123,"Tallapoosa, AL",2,Population (persons) 1/,40337
1123,"Tallapoosa, AL",3,Per capita personal income (dollars) 2/,42544
1125,"Tuscaloosa, AL",1,Personal income (thousands of dollars),8482108
1125,"Tuscaloosa, AL",2,Population (persons) 1/,210321
1125,"Tuscaloosa, AL",3,Per capita personal income (dollars) 2/,40329
1127,"Walker, AL",1,Personal income (thousands of dollars),2673001
1127,"Walker, AL",2,Population (persons) 1/,63680
1127,"Walker, AL",3,Per capita personal income (dollars) 2/,41976
1129,"Washington, AL",1,Personal income (thousands of dollars),611577
1129,"Washington, AL",2,Population (persons) 1/,16279
1129,"Washington, AL",3,Per capita personal income (dollars) 2/,37568
1131,"Wilcox, AL",1,Personal income (thousands of dollars),353015
1131,"Wilcox, AL",2,Population (persons) 1/,10396
1131,"Wilcox, AL",3,Per capita personal income (dollars) 2/,33957
1133,"Winston, AL",1,Personal income (thousands of dollars),841548
